"route_id","sightings","pres_abs","Latitude","Longitude","Route","Stop"
"ERIE  NWR_SUGAR-5_3",14,1,41.577957,-79.992552,"ERIE  NWR_SUGAR-5",3
"ERIE  NWR_SUGAR-5_4",7,1,41.583641,-79.992608,"ERIE  NWR_SUGAR-5",4
"ERIE  NWR_SUGAR-5_5",1,1,41.590248,-79.993129,"ERIE  NWR_SUGAR-5",5
"ERIE  NWR_SUGAR-5_6",1,1,41.59604,-79.993267,"ERIE  NWR_SUGAR-5",6
"ERIE  NWR_SUGAR-5_7",3,1,41.598127,-79.987775,"ERIE  NWR_SUGAR-5",7
"ERIE  NWR_SENECA-1_1",13,1,41.77223,-79.973347,"ERIE  NWR_SENECA-1",1
"ERIE  NWR_SENECA-1_2",1,1,41.77772,-79.970877,"ERIE  NWR_SENECA-1",2
"ERIE  NWR_SENECA-1_3",1,1,41.783249,-79.969706,"ERIE  NWR_SENECA-1",3
"ERIE  NWR_SENECA-1_4",9,1,41.788522,-79.968177,"ERIE  NWR_SENECA-1",4
"ERIE  NWR_SENECA-1_5",5,1,41.792679,-79.962719,"ERIE  NWR_SENECA-1",5
"ERIE  NWR_SENECA-2_1",3,1,41.794526,-80.023337,"ERIE  NWR_SENECA-2",1
"ERIE  NWR_SENECA-2_2",1,1,41.797861,-80.01633,"ERIE  NWR_SENECA-2",2
"ERIE  NWR_SENECA-2_3",0,0,41.799793,-80.009439,"ERIE  NWR_SENECA-2",3
"ERIE  NWR_SENECA-2_4",3,1,41.799968,-80.000613,"ERIE  NWR_SENECA-2",4
"ERIE  NWR_SENECA-2_5",0,0,41.799246,-79.994245,"ERIE  NWR_SENECA-2",5
"ERIE  NWR_SENECA-2_6",0,0,41.801541,-79.987818,"ERIE  NWR_SENECA-2",6
"ERIE  NWR_SENECA-2_7",0,0,41.802777,-79.979926,"ERIE  NWR_SENECA-2",7
"ERIE  NWR_SENECA-3_1",4,1,41.790439,-79.957977,"ERIE  NWR_SENECA-3",1
"ERIE  NWR_SENECA-3_2",7,1,41.785749,-79.953335,"ERIE  NWR_SENECA-3",2
"ERIE  NWR_SENECA-3_3",12,1,41.781849,-79.947454,"ERIE  NWR_SENECA-3",3
"ERIE  NWR_SENECA-3_4",16,1,41.777107,-79.942971,"ERIE  NWR_SENECA-3",4
"ERIE  NWR_SENECA-3_5",0,0,41.772266,-79.939646,"ERIE  NWR_SENECA-3",5
"ERIE  NWR_SENECA-3_6",3,1,41.767134,-79.934954,"ERIE  NWR_SENECA-3",6
"ERIE  NWR_SENECA-3_7",3,1,41.761791,-79.931819,"ERIE  NWR_SENECA-3",7
"ERIE  NWR_SENECA-3_8",3,1,41.758751,-79.936212,"ERIE  NWR_SENECA-3",8
"ERIE  NWR_SENECA-3_9",3,1,41.754149,-79.93814,"ERIE  NWR_SENECA-3",9
"CHRISTMAN_1_1",4,1,41.91127,-79.38311,"CHRISTMAN_1",1
"CHRISTMAN_1_2",3,1,41.91364,-79.38308,"CHRISTMAN_1",2
"CHRISTMAN_1_3",0,0,41.9127,-79.38093,"CHRISTMAN_1",3
"CHRISTMAN_1_4",1,1,41.91076,-79.37266,"CHRISTMAN_1",4
"CHRISTMAN_1_5",3,1,41.91042,-79.36917,"CHRISTMAN_1",5
"BUTCHER PLAP_1_1",3,1,41.59042,-79.72802,"BUTCHER PLAP_1",1
"BUTCHER PLAP_1_2",5,1,41.59032,-79.72102,"BUTCHER PLAP_1",2
"GROSS PLAP_1_1",0,0,41.72083,-79.73247,"GROSS PLAP_1",1
"GROSS PLAP_1_2",0,0,41.72446,-79.73557,"GROSS PLAP_1",2
"GROSS PLAP_1_3",0,0,41.72697,-79.73104,"GROSS PLAP_1",3
"420_420 North_1",3,1,40.39634,-78.13247,"420_420 North",1
"420_420 North_2",4,1,40.40002,-78.12932,"420_420 North",2
"420_420 North_3",1,1,40.4034,-78.13223,"420_420 North",3
"420_420 North_4",4,1,40.4038,-78.126973,"420_420 North",4
"48_Milligan's Cove_1",9,1,39.92522,-78.63022,"48_Milligan's Cove",1
"48_Milligan's Cove_2",12,1,39.92107,-78.63193,"48_Milligan's Cove",2
"48_Milligan's Cove_3",5,1,39.91777,-78.63546,"48_Milligan's Cove",3
"48_Milligan's Cove_4",6,1,39.91352,-78.63666,"48_Milligan's Cove",4
"48_Milligan's Cove_5",4,1,39.90986,-78.6395,"48_Milligan's Cove",5
"48_Milligan's Cove_6",5,1,39.90578,-78.64136,"48_Milligan's Cove",6
"48_Milligan's Cove_7",0,0,39.90169,-78.64353,"48_Milligan's Cove",7
"48_Milligan's Cove_8",4,1,39.90169,-78.64353,"48_Milligan's Cove",8
"48_Milligan's Cove_9",5,1,39.89424,-78.64933,"48_Milligan's Cove",9
"48_Milligan's Cove_10",7,1,39.89048,-78.65239,"48_Milligan's Cove",10
"242_SGL 242_1",0,0,40.09373,-76.93903,"242_SGL 242",1
"242_SGL 242_2",0,0,40.09392,-76.94366,"242_SGL 242",2
"242_SGL 242_3",1,1,40.09142,-76.94527,"242_SGL 242",3
"242_SGL 242_4",0,0,40.08852,-76.94199,"242_SGL 242",4
"242_SGL 242_5",0,0,40.08596,-76.94223,"242_SGL 242",5
"249_SGL 249_1",0,0,39.943167,-77.175433,"249_SGL 249",1
"249_SGL 249_2",5,1,39.938383,-77.1755,"249_SGL 249",2
"249_SGL 249_3",1,1,39.934467,-77.173467,"249_SGL 249",3
"249_SGL 249_4",0,0,39.933783,-77.168717,"249_SGL 249",4
"249_SGL 249_5",0,0,39.936983,-77.165117,"249_SGL 249",5
"249_SGL 249_6",5,1,39.940833,-77.167683,"249_SGL 249",6
"249_SGL 249_7",1,1,39.944317,-77.170967,"249_SGL 249",7
"251_Block's Hollow_1",0,0,40.27332,-77.77445,"251_Block's Hollow",1
"251_Block's Hollow_2",0,0,40.26958,-77.77723,"251_Block's Hollow",2
